,core_hicp,spf_long_mean,unemployment,nairu,p_imported,brent,spr_bk_dom_ea
2001Q1,-0.0031376434646188667,,8.433333333333332,9.078784399734836,-0.039740820734341153,25.82421875,0.7414209
2001Q2,0.010229437588006318,,8.4,9.020921612877993,0.011246063877642598,27.28953125,0.6629589333333333
2001Q3,0.002705694256548874,,8.4,8.971911289307847,-0.013790035587188387,25.300461538461537,0.6727476
2001Q4,0.007972525450754553,,8.466666666666667,8.93137687064759,-0.0360847992783041,19.39546875,0.6950692333333333
2002Q1,0.003569400502960951,,8.5,8.898584353964594,0.010294805802526952,21.116031746031744,0.5895591
2002Q2,0.010063859025139177,,8.6,8.872509292448743,0.009263547938860528,25.114516129032257,0.6225037666666667
2002Q3,0.0021607778800369903,1.851190476190476,8.733333333333333,8.85187812406869,-0.019274896741624525,26.888636363636365,0.7787785333333334
2002Q4,0.0066280694749452085,1.8532608695652169,8.866666666666667,8.835246968485315,0.007019185774450154,26.7378125,0.8801981666666667
2003Q1,-0.0004363174804650205,1.9,9.066666666666668,8.821097854865274,0.0009293680297397522,31.497142857142855,0.8316378333333333
2003Q2,0.01003968253968246,1.8825,9.133333333333333,8.807932449686593,-0.039461467038068854,26.17030769230769,0.7635221666666666
2003Q3,0.0005500333948846858,1.8825,9.1,8.794405899934667,-0.0009666505558240113,28.42636363636364,0.6598699333333333
2003Q4,0.006439706286566871,1.9372093023255812,9.166666666666666,8.779376728147165,2.220446049250313e-16,29.4059375,0.6046690333333333
2004Q1,0.0005462135695055714,1.9197674418604649,9.366666666666667,8.7618944531743,-0.0033865505563619447,31.9946875,0.6279584333333333
2004Q2,0.010840319750438754,1.9127659574468083,9.333333333333334,8.741250650077857,0.03786407766990285,35.41476923076923,0.5772454333333333
2004Q3,0.0008100914246036428,1.9195652173913047,9.333333333333334,8.717114876553058,0.022450888681010417,41.387424242424245,0.5816142666666666
2004Q4,0.006359851988899212,1.892391304347826,9.366666666666667,8.689526741972157,0.005946935041170942,44.00893939393939,0.5323782
2005Q1,-0.0027576697690452345,1.8990565217391304,9.233333333333333,8.658910992242895,-0.00045475216007273556,47.87064516129032,0.5085908333333333
2005Q2,0.010024196335983504,1.8868717391304344,9.3,8.626115585725945,0.02775250227479531,51.624,0.5401205333333333
2005Q3,-0.0007224884021598266,1.9408108108108109,9.133333333333333,8.592347494745162,0.05976095617529875,61.56848484848485,0.46470340000000004
